video_id,query
Empire_State_Building_Run-Up_climb_stairs_f_cm_np1_ba_med_3,woman in pink shorts climbing stairs
Eric_Axley_golf_f_cm_np1_le_goo_0,man in orange top and black pants swing golf
Erikafrontrecurve6june08_shoot_bow_u_nm_np1_fr_med_0,woman shooting bow
Ernie_Els_swing_close_up_golf_f_cm_np1_ri_goo_0,a man in black is playing golf
Eurotrip_walk_f_nm_np1_fr_med_8,man walking through the door
Evian_Masters_Junior_Cup_Highlights_2009_golf_f_nm_np1_le_goo_4,a man in white shirt is playing golf
Evian_Masters_Junior_Cup_Highlights_2009_golf_f_nm_np1_ri_goo_3,man playing golf at the golf course
FIFA_11_Gamescom-Trailer_kick_ball_f_cm_np1_ba_bad_1,Messi is shooting the ball in a football match
FIFA_11_Gamescom-Trailer_kick_ball_f_cm_np1_ba_med_3,a football player in white jersey is shooting a ball
FIFA_11_Gamescom-Trailer_kick_ball_f_cm_np1_ba_med_4,a player is shooting a football ball
FOOT_2009_(REMI_GAILLARD)_kick_ball_f_cm_np1_ba_bad_1,man kicking the football
FOOT_2009_(REMI_GAILLARD)_kick_ball_f_cm_np1_ba_bad_2,a boy is playing then shooting a ball
Faith_Rewarded_catch_f_cm_np1_fr_med_10,player in white shirt catching the baseball
Faith_Rewarded_run_f_cm_np1_le_med_16,a man in white is running
Faith_Rewarded_swing_baseball_f_cm_np1_ba_bad_11,player in white shirt swing a baseball
Faith_Rewarded_swing_baseball_f_nm_np0_fr_bad_67,a man is playing baseball
Faith_Rewarded_swing_baseball_f_nm_np1_ba_bad_22,player in white swing baseball
Faith_Rewarded_swing_baseball_f_nm_np1_ba_med_23,player in white shirt swing a baseball
Faith_Rewarded_swing_baseball_f_nm_np1_fr_bad_26,a player is hitting to the ball by a baseball bat
Faith_Rewarded_swing_baseball_f_nm_np1_fr_bad_72,a man in white clothes is playing baseball
Faith_Rewarded_swing_baseball_f_nm_np1_fr_med_75,a man is shooting a ball by a baseball bat
Faith_Rewarded_throw_f_nm_np1_le_bad_51,player in white shirt throwing baseball
Faith_Rewarded_throw_f_nm_np1_ri_bad_9,player in white shirt throwing baseball
Faith_Rewarded_throw_u_cm_np1_fr_med_33,player in white throwing baseball
Fastestguninthewest_shoot_gun_f_nm_np1_ri_med_0,man in white shirt and black pants shooting guns
Fellowship_4_stand_f_cm_np1_fr_med_3,a man in black is standing up
Fellowship_7_run_f_cm_np1_fr_med_4,a man is running
Finding_the_fairway_under_pressure_golf_f_cm_np1_ri_med_0,man green shirt playing golf
FirearmsTraining_shoot_gun_f_cm_np1_ri_med_0,man shooting guns
FirearmsTraining_shoot_gun_f_cm_np1_ri_med_1,man with a black hat shooting gun
FirearmsTraining_shoot_gun_f_nm_np1_ri_med_7,a man is shootting a pistol
FirearmsTraining_shoot_gun_u_cm_np1_ba_med_5,a man on the left is shooting a pistol
FirearmsTraining_shoot_gun_u_cm_np1_ri_med_2,a man is shooting two pistols
FirearmsTraining_shoot_gun_u_nm_np1_ri_goo_6,a man is shooting a pistol
FirearmsTraining_shoot_gun_u_nm_np1_ri_goo_9,a man is shooting using a gun
FirearmsTraining_shoot_gun_u_nm_np1_ri_med_11,man in black shirt shooting guns
FirearmsTraining_shoot_gun_u_nm_np1_ri_med_3,man shooting guns
FirearmsTraining_shoot_gun_u_nm_np1_ri_med_4,man shooting guns
Fishing_For_People_pick_f_cm_np1_fr_med_3,a woman is bending
Fishing_For_People_pick_f_cm_np1_ri_med_2,man next to a black dog picking up things
Fishing_For_People_pick_f_cm_np1_ri_med_5,a man in red tshirt is bending to catch something
Flamenco_Dance_Steps_-_Flamenco_Dance_Soft_Claps_clap_u_cm_np1_fr_goo_1,a woman is clapping her hands
Flamenco_Dance_Steps_-_Flamenco_Dance_Soft_Claps_clap_u_cm_np1_fr_goo_2,woman clapping hands
Flaming_B52_Shot_Drink_pour_u_nm_np1_fr_med_0,man pouring out some liquor
Flaming_B52_Shot_Drink_pour_u_nm_np1_fr_med_1,man in black shirt pouring liquor
Flaming_B52_Shot_Drink_pour_u_nm_np1_fr_med_2,man in black shirt pouring liquor
Frisbee_catch_f_cm_np1_ri_med_0,man catching the frisbee
Frisbee_catch_f_cm_np1_ri_med_1,man catching the frisbee
GLOCK17_shoot_gun_f_nm_np1_fr_med_4,a person in green tshirt is shooting using a pistol
GLOCK17_shoot_gun_f_nm_np1_fr_med_5,a woman in green tshirt is shooting a pistol
GLOCK17_shoot_gun_u_nm_np1_fr_med_6,a woman in green tshirt is shooting a pistol
GLOCK17_shoot_gun_u_nm_np1_ri_med_0,woman shooting guns
GLOCK17_shoot_gun_u_nm_np1_ri_med_1,a woman in green tshirt is shooting a pistol
GLOCK17_shoot_gun_u_nm_np1_ri_med_2,a woman in green tshirt is shooting a pistol
GardenWiseB256kb_pick_f_nm_np1_le_med_0,a person is bending to take something
Girl_does_12_pull-ups_pullup_u_cm_np1_ba_med_0,a girl in red shirt is pulling up
Girl_does_12_pull-ups_pullup_u_cm_np1_ba_med_1,woman in red top and black shorts pulling up
Girl_does_12_pull-ups_pullup_u_cm_np1_ba_med_2,woman in red top and black shorts pulling up
Goal_1_@_2_kick_ball_f_cm_np1_fr_goo_2,player in white kicking football
Goal_Keeping_Tips_catch_f_cm_np1_fr_med_0,girl in black shirt and pink shorts catching the football
Goal_Keeping_Tips_catch_f_cm_np1_fr_med_2,girl catching the football
Goal_Keeping_Tips_catch_u_cm_np1_fr_med_1,a girl in black tshirt is catching a ball
Goal_Keeping_Tips_catch_u_cm_np1_fr_med_3,a girl is catching a yellow ball
Goalkeeper_Training_Day_@_7_catch_f_cm_np1_ri_med_0,a man in yellow tshirt is catching a ball
Golf_Swing_@6Iron_golf_f_cm_np1_fr_med_0,woman swing golf ball
Golf_Swing_@6Iron_golf_f_cm_np1_fr_med_1,a man is playing golf
Golf_Swing_@6Iron_golf_f_cm_np1_fr_med_2,woman swing golf ball
Golf_Swing_@6Iron_golf_f_cm_np1_ri_med_3,a person is playing golf
Golf_Swing_@6Iron_golf_f_cm_np1_ri_med_4,a person is playing golf
Golf_Swing_@6Iron_golf_f_cm_np1_ri_med_5,woman playing golf
Golf_Tips_-_Hit_The_Driver_300+_Yards!!!_golf_f_nm_np1_fr_med_0,man swing golf ball on the lawn
Golfswing_golf_f_cm_np1_fr_goo_0,woman in black playing golf
Golfswing_golf_f_cm_np1_ri_goo_1,woman playing golf
Gregoire_Airman_showreel_2008_jump_f_cm_np1_ba_bad_1,topless man jumping over the fence
Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_0,man in blue shirt jumping onto the wall
Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_2,man jumping up
Gregoire_Airman_showreel_2008_jump_f_cm_np1_le_bad_4,a man is jumping
Gregoire_Airman_showreel_2008_jump_f_cm_np1_ri_bad_5,man jumping over the stairs
Gregoire_Airman_showreel_2008_jump_f_cm_np1_ri_bad_6,a man is jumping
GuardiansOfO256kb_climb_stairs_f_cm_np1_ba_med_0,a man is climbing up the stairs
HP_PRISONER_OF_AZKABAN_sit_f_cm_np1_le_med_1,man sitting down on the bed
HP_PRISONER_OF_AZKABAN_stand_f_cm_np1_fr_med_4,a man is standing up
HP_PRISONER_OF_AZKABAN_stand_f_cm_np1_le_bad_38,man standing up
HP_PRISONER_OF_AZKABAN_walk_f_cm_np1_ri_med_2,man lugging a suitcase on the street
H_I_I_T__Swamis_stairs_with_Max_Wettstein_featuring_Donna_Wettstein_climb_stairs_f_cm_np1_ba_med_4,a woman is going up the stairs
H_I_I_T__Swamis_stairs_with_Max_Wettstein_featuring_Donna_Wettstein_climb_stairs_f_cm_np1_ba_med_5,a woman is climbing up the stairs
H_I_I_T__Swamis_stairs_with_Max_Wettstein_featuring_Donna_Wettstein_climb_stairs_f_cm_np1_ba_med_7,a man is climbing up the stairs
H_I_I_T__Swamis_stairs_with_Max_Wettstein_featuring_Donna_Wettstein_climb_stairs_f_cm_np1_ba_med_9,man climbing stairs
H_I_I_T__Swamis_stairs_with_Max_Wettstein_featuring_Donna_Wettstein_climb_stairs_f_cm_np1_fr_med_8,topless man climbing stairs
Hands_Up__Clap_Hands_And_Wave!_wave_f_cm_np1_ri_med_0,baby sitting and clapping hands
HannahFront22May08_shoot_bow_u_nm_np1_fr_med_0,a woman is playing archery
HannahFront22May08_shoot_bow_u_nm_np1_fr_med_1,a woman is playing archery
Hannahfront23may08_shoot_bow_u_nm_np1_fr_med_0,a woman is playing archery
Hannahfront23may08_shoot_bow_u_nm_np1_fr_med_1,woman shooting bow
Hip_Firing_the_SAW_shoot_gun_u_cm_np1_ba_med_0,man shooting guns
Hip_Firing_the_SAW_shoot_gun_u_cm_np1_ba_med_1,man shooting guns
Hip_Firing_the_SAW_shoot_gun_u_cm_np1_ba_med_2,a man is shooting with a gun
Hitch_Part_2_run_f_nm_np1_fr_med_11,a man is running toward the camera
Hitch_Part_2_wave_h_nm_np1_fr_goo_12,a man is moving his hand
HittingaSingle_swing_baseball_f_cm_np1_fr_med_0, boy is playing baseball
Hittingadouble(BXbaseball)_swing_baseball_f_nm_np1_ba_bad_0,player swing the baseball bat
How_To_Pour_Ice_Tea_pour_u_nm_np1_fr_med_2,a boy is pouring something into the glass
How_To_Pour_a_Franziskaner_pour_u_cm_np1_fr_med_0,a man is pouring beer into a glass
How_To_Pour_a_Franziskaner_pour_u_cm_np1_fr_med_1,man pouring beer
How_to_Build_a_Cocktail_pour_u_nm_np1_fr_med_0,man in red pouring out some liquor
How_to_Build_a_Cocktail_pour_u_nm_np1_fr_med_2,man in red shirt pouring liquor
How_to_Exercise_Outdoors_-_Outdoor_Step_Running_Exercises_climb_stairs_f_cm_np1_fr_med_1,woman in red shirt and black shorts climbing the stairs
How_to_Exercise_Outdoors_-_Outdoor_Step_Running_Exercises_climb_stairs_f_nm_np1_fr_med_0,woman in red shirt climbing the stairs
How_to_Play_Wide_Receiver_in_Football_-_How_to_Catch_a_High_Ball_in_Football_catch_f_nm_np1_ri_goo_0,a man in blue jacket is catching a ball
How_to_Play_Wide_Receiver_in_Football_-_How_to_Catch_a_High_Ball_in_Football_catch_f_nm_np1_ri_med_1,man in blue top and black pants catching the football
How_to_Shoot_Penalty_Kicks_kick_ball_f_cm_np1_ba_bad_0,a man is red jersey is shooting in a football game
How_to_Shoot_Penalty_Kicks_kick_ball_f_cm_np1_ba_bad_1,a man in red jersey is shooting a ball
How_to_Shoot_Penalty_Kicks_kick_ball_f_cm_np1_ba_bad_3,a man in red jersey is shooting a football ball
How_to_Shoot_Penalty_Kicks_kick_ball_f_cm_np1_ba_bad_4,a man in red jersey is shooting a ball
How_to_Shoot_Penalty_Kicks_kick_ball_f_cm_np1_ba_bad_5,man in red shirt kicking the football
How_to_kick_a_soccer_ball_the_right_way_kick_ball_l_nm_np1_ba_bad_0,man in yellow shirt and black shorts kicking the football
How_to_pour_beer_pour_u_nm_np1_fr_goo_0,woman in white shirt pouring beer
HowtoParticipateinKnife_throw_f_cm_np1_le_med_1,a man in red is throwing a dart
HowtoParticipateinKnife_throw_u_cm_np1_ba_med_0,kid throwing darts
HowtoswingaBaseballbat_swing_baseball_f_nm_np1_le_bad_0,man in gray swing baseball bat
Huge_Dive-Roll_jump_f_cm_np1_ri_bad_0,a man in black is jumping over a set of chairs
Huge_Drive!_Please_Rate_It_golf_f_cm_np1_ri_goo_0,man swing golf ball
I_DO_NOT_Run_Up_Stairs_Like_A_GIRL_climb_stairs_l_cm_np1_ba_med_0,a girl is going up the stairs
I_DO_NOT_Run_Up_Stairs_Like_A_GIRL_climb_stairs_l_cm_np1_ba_med_1,woman climbing stairs
I_DO_NOT_Run_Up_Stairs_Like_A_GIRL_climb_stairs_l_cm_np1_ba_med_2,a girl is climbing up the stairs
I_DO_NOT_Run_Up_Stairs_Like_A_GIRL_climb_stairs_l_cm_np1_ba_med_3,man climbing stairs
I_DO_NOT_Run_Up_Stairs_Like_A_GIRL_climb_stairs_l_cm_np1_ba_med_4,man climbing up the stairs
I_DO_NOT_Run_Up_Stairs_Like_A_GIRL_climb_stairs_l_cm_np1_ba_med_5,man climbing stairs
Iain_Powell_Driving_at_Ingon_Manor_GC_golf_f_cm_np1_ri_med_0,a man in black is playing golf
IamLegendII_sit_f_nm_np1_le_med_4,man sitting down at the table
IamLegend_run_f_nm_np1_le_med_3,a man is running in a treadmill
IamLegend_sit_f_cm_np1_fr_med_24,woman sitting down at the table
IamLegend_stand_f_cm_np1_fr_bad_27,man standing up from the bed
ImprovingBasketballSkills-BasketballNBA3-PointShots_shoot_ball_f_nm_np1_ri_med_0,a man is throwing a basketball ball
ImprovingBasketballSkills-BasketballNBA3-PointShots_shoot_ball_f_nm_np1_ri_med_2,man shooting basketball
ImprovingBasketballSkills-BasketballTeardropJumpShot_shoot_ball_f_nm_np1_ba_med_0,a man is throwing a basketball ball
ImprovingBasketballSkills-BasketballTurnaroundFadeAway_shoot_ball_f_nm_np1_ri_med_0,man jumping up and shooting a basketball
Intense_Cardio_Session-_Stairs_climb_stairs_f_cm_np1_ba_med_0,man in white top and black shorts climbing stairs
Intense_Cardio_Session-_Stairs_climb_stairs_f_cm_np1_ba_med_2,a man is climbing up the stairs
Intro_to_Bartending_-_Lesson_2-Highball_Drinks_pour_u_nm_np1_ri_med_0,a man is pouring something into the glass
Intro_to_Bartending_-_Lesson_2-Highball_Drinks_pour_u_nm_np1_ri_med_1,a man is pouring something
Intro_to_Bartending_-_Lesson_2-Highball_Drinks_pour_u_nm_np1_ri_med_2,a man is pouring something into the glass
JashaunKidsWhoRipAmazingBasketball_shoot_ball_f_cm_np1_le_med_4,man in blue shirt shooting basketball
JashaunKidsWhoRipAmazingBasketball_shoot_ball_f_cm_np1_le_med_5,a boy is throwing a basketball ball
JashaunKidsWhoRipAmazingBasketball_shoot_ball_u_cm_np1_le_med_3,boy in blue shooting basketball
Jeff_Ritter_-_More_Distance_golf_f_nm_np1_ri_med_0,man swing golf ball
Jeff_Ritter_-_Power_Drill_golf_f_nm_np1_ri_med_0,a man in white tshirt is playing golf
Jeff_Ritter_-_The_Transition_golf_f_nm_np1_ri_med_0,man swing golf ball indoor
Joel_Pushing_Box_push_f_cm_np1_ba_bad_1,baby pushing box on the floor
Joel_Pushing_Box_push_f_cm_np1_ri_bad_0,baby pushing box on the floor
Juno_run_f_cm_np1_ba_med_5,woman walking in the snow
Juno_sit_u_cm_np1_fr_goo_7,woman sitting down
Juno_walk_f_cm_np1_fr_med_8,woman walking on the lawn
KELVIN_shoot_ball_u_cm_np1_ba_med_0,man in black shirt shooting basketball
KELVIN_shoot_ball_u_cm_np1_ba_med_2,a man in black is throwing a ball
KELVIN_shoot_ball_u_cm_np1_ba_med_4,man shooting a basketball
KELVIN_shoot_ball_u_cm_np1_ba_med_5,a man is throwing a ball toward the basket
KELVIN_shoot_ball_u_cm_np1_ba_med_6,man shooting basketball
KELVIN_shoot_ball_u_cm_np1_ba_med_7,a man in blue tshirt is throwing a ball
KUNG_FU_HUSTLE_jump_f_cm_np1_fr_bad_16,man jumping high
KUNG_FU_HUSTLE_jump_f_cm_np1_fr_bad_55,a person is jumping
Kamikaze_Martini_Coctail_pour_u_nm_np1_fr_med_0,man pouring out some liquor
Kamikaze_Martini_Coctail_pour_u_nm_np1_fr_med_1,a man is pouring something into the glass
Kamikaze_Martini_Coctail_pour_u_nm_np1_fr_med_2,a man is pouring something into the glass
Kevin_Na_s_Swing_golf_f_cm_np1_ri_goo_0,a man in white is playing golf
KnifeThrowingJackDaggerDemoReel_throw_f_nm_np1_fr_med_1,man throwing darts
KnifeThrowingJackDaggerDemoReel_throw_u_cm_np1_ba_med_6,a person is throwing an ax
KnifeThrowingJackDaggerDemoReel_throw_u_cm_np1_ri_med_7,man in white top throwing darts
KnifeThrowing_throw_f_nm_np1_le_med_0,man throwing darts
KnifeThrowing_throw_f_nm_np1_le_med_1,man throwing darts
KnifeThrowing_throw_f_nm_np1_le_med_2,man throwing darts
KnifeThrowing_throw_f_nm_np1_le_med_3,man throwing the dart
KnifeThrowing_throw_f_nm_np1_le_med_4,man in white top and black pants throwing darts
Knifethrowing4knivestogethernospin_throw_f_nm_np1_ri_med_1,man throwing darts
Knifethrowing4knivestogethernospin_throw_u_nm_np1_ba_med_0,man throwing darts
Kommandant__muss_Auto_schieben_push_f_cm_np1_le_bad_5,a man is pushing a car
Kommandant__muss_Auto_schieben_push_f_cm_np1_ri_bad_0,man pushing the car on the left 
Kommandant__muss_Auto_schieben_push_f_cm_np1_ri_bad_1,a man is pushing a car
Kommandant__muss_Auto_schieben_push_f_cm_np1_ri_bad_2,a man in white tshirt is pushing a car
Kommandant__muss_Auto_schieben_push_f_cm_np1_ri_bad_3,a man is pushing a car
Kurt_Kr_mer_-_Klatschen_im_Flugzeug_clap_f_nm_np1_fr_med_0,a man is clapping his hands
Kurt_Kr_mer_-_Klatschen_im_Flugzeug_clap_u_cm_np1_fr_med_1,a man is clapping hands
Kurt_Kr_mer_-_Klatschen_im_Flugzeug_clap_u_cm_np1_ri_bad_3,man clapping hands
Kurt_Kr_mer_-_Klatschen_im_Flugzeug_clap_u_cm_np1_ri_bad_4,a man is clapping hands
LONGESTYARD_walk_f_nm_np1_fr_med_6,man walking by the lake
LearnToShootFromTheMaster_catch_f_cm_np1_ba_med_6,a man in white tshirt is receiving a ball
LearnToShootFromTheMaster_catch_f_nm_np1_ba_med_0,man in white shirt catching the basketball
LearnToShootFromTheMaster_catch_f_nm_np1_ba_med_1,a man in white tshirt is catching a ball
LearnToShootFromTheMaster_catch_f_nm_np1_ba_med_4,a man in white tshirt is catching a basketball ball
LearnToShootFromTheMaster_shoot_ball_f_cm_np1_ba_med_6,a man is throwing a basketball ball
LearnToShootFromTheMaster_shoot_ball_f_nm_np1_ba_med_0,a man is throwing a ball
LearnToShootFromTheMaster_shoot_ball_f_nm_np1_ba_med_1,a boy is throwing a basketball ball
LearnToShootFromTheMaster_shoot_ball_f_nm_np1_ba_med_4,man shooting a basketball
LearnToShootFromTheMaster_shoot_ball_f_nm_np1_ba_med_5,a man in white tshirt is throwing a ball
Learn_Freerunning_and_Parkour__-_Diving_Kong_jump_f_cm_np1_ba_bad_1,a boy in black is rolling
Learn_Freerunning_and_Parkour__-_Diving_Kong_jump_f_cm_np1_le_bad_2,a man in dark is jumping in parkour game
Learn_Freerunning_and_Parkour__-_Diving_Kong_jump_f_cm_np1_le_bad_3,a man in black is umping from right to left
Learn_Freerunning_and_Parkour__-_Diving_Kong_jump_f_cm_np1_le_bad_5,man jumping over the terrace
M_ll_sammeln_pick_f_cm_np1_fr_bad_0,a woman is getting something from the ground
Maddin_winkt_wave_h_cm_np1_fr_med_1,woman waving her hand
Magic_Boys-_Der_Portmonai_Trick_pick_l_nm_np1_ri_med_0,woman picking up things on the road
Man_Who_Cheated_Himself_512kb_stand_u_cm_np1_fr_med_11,man standing up from the couch
Martin_klatscht_in_die_h_nde_und_FURZT_clap_u_cm_np1_fr_med_0,the man is handshaking in the bed
Maya_beim_Winken_wave_f_cm_np1_fr_med_0,baby waving hand in the bed
Maya_beim_Winken_wave_f_cm_np1_fr_med_1,baby waving hands in the bed
Maya_beim_Winken_wave_f_cm_np1_fr_med_2,baby waving his hand in the bed
MeShootin2_shoot_gun_u_nm_np1_ri_med_0,a woman is shooting a pistol
MeShootin2_shoot_gun_u_nm_np1_ri_med_1,girl shooting gun
MeShootin2_shoot_gun_u_nm_np1_ri_med_2,woman shooting gun
MeettheFockers_walk_f_nm_np1_ba_med_9,man walking on the sidewalk
MegaPrecisionArchery_shoot_bow_u_nm_np1_fr_med_0,a man is playing archery
MegaPrecisionArchery_shoot_bow_u_nm_np1_fr_med_1,man in black shirt shooting bow
MegaPrecisionArchery_shoot_bow_u_nm_np1_fr_med_2,a man in black tshirt is doing archery
MegaPrecisionArchery_shoot_bow_u_nm_np1_fr_med_3,a man is doing archery
MegaPrecisionArchery_shoot_bow_u_nm_np1_fr_med_4,man shooting bow
MegaPrecisionArchery_shoot_bow_u_nm_np1_fr_med_5,man in black shirt shooting bow
Micah_Lacerte_Running_Stairs___Great_cardio_for_fat_loss_climb_stairs_f_cm_np1_ba_med_3,a man is climbing up the stairs
Micah_Lacerte_Running_Stairs___Great_cardio_for_fat_loss_climb_stairs_f_cm_np1_ba_med_4,man in white top and black shorts climbing stairs
Micah_Lacerte_Running_Stairs___Great_cardio_for_fat_loss_climb_stairs_f_cm_np1_fr_med_1,a man in white shirt is climbing up the stairs
Micah_Lacerte_Running_Stairs___Great_cardio_for_fat_loss_climb_stairs_f_cm_np1_fr_med_2,man climbing stairs
Mike_Weir_golf_f_cm_np1_le_med_0,a man is playing golf
Miyazato_Ai_golf_f_cm_np1_fr_med_0,a person with white tshirt is playing golf
Morgan_Pressel_golf_f_cm_np1_ri_goo_0,woman swing golf ball
My_First_Hefeweizen_pour_u_nm_np1_ri_med_0,a woman is pouring beer to a glass
My_First_Hefeweizen_pour_u_nm_np1_ri_med_1,a woman is pouring a beer to the glass
My_First_Hefeweizen_pour_u_nm_np1_ri_med_2,a woman is pouring beer to a glass
My_Hair_Routine_brush_hair_h_nm_np1_le_goo_0,a woman is combing her hair
NH-__Open_Carry_Litter_Pickup_in__troubled__neighborhood_pick_f_nm_np1_le_med_0,a man on the left is bending to grab the garbage
NH_gun_owners_react_to_detention_with_armed_litter_pickup_pick_f_cm_np1_ba_med_0,a man is bending to grab something
NH_gun_owners_react_to_detention_with_armed_litter_pickup_pick_u_cm_np1_ba_med_2,man picking up things
NH_open_carry_litter_pickup_spurs_stunning_encountrs__1_of_2_pick_f_cm_np1_fr_med_0,man picking up something on the sidewalk
NOVA_ELEGANTUNIVERSE2_walk_f_nm_np1_ba_med_0,man in white shirt walking in the elevator
NOVA_ELEGANTUNIVERSE2_walk_u_nm_np1_ri_med_3,a man is walking and watching to the blackboard
New_Orleans__best_cocktails-_Hot_Buttered_Rum_pour_u_nm_np1_fr_med_0,man pouring liquor
New_Orleans__best_cocktails-_Hot_Buttered_Rum_pour_u_nm_np1_fr_med_1,a man is pouring something into the glass
New_Orleans__best_cocktails-_Hot_Buttered_Rum_pour_u_nm_np1_fr_med_2,man pouring out some liquor
Nike_Soccer_Commercial_-_Good_vs__Evil_kick_ball_f_cm_np1_fr_med_0,player kicking football
NoCountryForOldMen_pick_u_nm_np1_le_goo_0,man in yellow hat bending down
NoCountryForOldMen_sit_f_nm_np1_fr_goo_4,man in black sitting down
NoCountryForOldMen_sit_f_nm_np1_ri_med_6,a woman in black is sitting in a chair
Oceans12_walk_u_cm_np1_fr_med_10,woman in red walking
OldSchool_jump_f_nm_np1_fr_bad_26,a person is going to jump
OldSchool_walk_f_nm_np1_ri_med_0,man walking along the yellow cab
OldSchool_wave_f_cm_np1_fr_med_13,a man is waving his hands
Outdoor_Agility_Training_-_Outdoor_Stair_Run_Drill_for_Agility_climb_stairs_f_cm_np1_ba_med_0,woman climbing stairs
Outdoor_Agility_Training_-_Outdoor_Stair_Run_Drill_for_Agility_climb_stairs_f_cm_np1_ba_med_1,man in black climbing up stairs
Outdoor_Agility_Training_-_Outdoor_Stair_Run_Drill_for_Agility_climb_stairs_f_cm_np1_ba_med_2,a person is climbing up the stairs
Panic_in_the_Streets_stand_u_cm_np1_ri_med_2,man in uniform standing up
Panic_in_the_Streets_walk_u_cm_np1_ba_med_5,woman walking
Panic_in_the_Streets_walk_u_nm_np1_fr_med_4,a man is walking toward the camera
Paula_Creamer_golf_f_cm_np1_ri_med_0,woman in pink top and white skirt playing golf
Perfect_Pull_Up_-_How_To_Do_Pull_Ups_pullup_u_cm_np1_fr_goo_0,man in white top and blue shorts pulling up
Perfect_Pull_Up_-_How_To_Do_Pull_Ups_pullup_u_cm_np1_fr_goo_1,a man is doing pull up
Perfect_Pull_Up_-_How_To_Do_Pull_Ups_pullup_u_cm_np1_fr_goo_2,a man is doing pull up
Pick_Up_Your_Trash!_pick_f_cm_np1_ba_med_1,man picking up something from ground
Pick_Up_Your_Trash!_pick_f_cm_np1_le_med_0,a girl in white tshirt is bending to take a paper
Pilzesuchen_pick_f_cm_np1_fr_med_0,a man in red shirt is bending
Pirates_5_wave_h_nm_np1_fr_med_8,man shouting and clapping hands
PlayingBasketballGotWater_shoot_ball_f_nm_np1_ba_med_0,woman shooting a basketball
PlayingBasketballGotWater_shoot_ball_f_nm_np1_ba_med_4,a girl in white tshirt is throwing a basketball ball
PlayingBasketballGotWater_shoot_ball_f_nm_np1_ba_med_6,girl shooting a basketball
PlayingBasketballGotWater_shoot_ball_f_nm_np1_ba_med_8,a man is throwing a basketball ball
PlayingBasketballGotWater_shoot_ball_f_nm_np1_ri_med_1,woman shooting a basketball
PlayingBasketball_shoot_ball_f_nm_np1_ba_med_6,man shooting a basketball
Pomegranate_Martini_Cocktail_Recipes_pour_u_cm_np1_fr_med_0,a woman is pouring something from a bottle to a glass
Pomegranate_Martini_Cocktail_Recipes_pour_u_cm_np1_fr_med_1,a woman is pouring oil from a bottle to a glass
Pomegranate_Martini_Cocktail_Recipes_pour_u_cm_np1_fr_med_2,a woman is pouring a liquid into a glass
Prelinger_ActYourA1949_sit_u_cm_np1_ri_med_2,a man is sitting on the chair
Prelinger_ActYourA1949_throw_u_nm_np1_ri_med_13,man throwing a ball
Prelinger_HabitPat1954_pick_f_cm_np1_fr_med_28,woman picking up clothes on the floor
Prelinger_HabitPat1954_sit_u_cm_np1_le_med_8,a girl is sitting down
Prelinger_LetYours1940_stand_f_nm_np1_fr_med_4,woman standing up from the chair
Prelinger_LetYours1940_walk_f_nm_np1_ba_med_5,woman walking in the room
Pull-ups_+_Push_ups-_a_time-saving_workout_pullup_u_cm_np1_ri_med_0,topless man pulling up
Pull-ups_+_Push_ups-_a_time-saving_workout_pullup_u_cm_np1_ri_med_1,topless man pulling up
Pull-ups_+_Push_ups-_a_time-saving_workout_pullup_u_cm_np1_ri_med_2,a top naked man is doing pull up bar exercise
Push_That_Car!_push_f_cm_np1_ri_med_0,a man is pushing a car
Pushing_Music_Table_push_f_cm_np1_le_bad_5,a baby is pushing his toy
Pushing_Music_Table_push_f_cm_np1_ri_bad_2,a kid is pushing his toy
Pushing_Music_Table_push_f_cm_np1_ri_bad_7,a baby is pushing his toy
Pushing_train_-_Me_and_my_friend_-_Worlds_strongest_men_push_f_cm_np2_ri_bad_0,a man is pushing a train
Pushing_train_-_Me_and_my_friend_-_Worlds_strongest_men_push_f_cm_np2_ri_bad_1,a man is pushing a train
RATRACE_run_f_cm_np1_ba_med_14,a man is running with barefoot in the sand
RATRACE_run_f_cm_np1_fr_med_16,a man is running with barefoot in the sand
RATRACE_run_f_nm_np1_ri_med_7,man in white suit walking in the corridor
RATRACE_stand_f_cm_np1_le_med_35,a man is standing up
RATRACE_stand_f_cm_np1_ri_med_28,man in black suit standing up from the sofa
RATRACE_walk_f_cm_np1_ba_med_17,man walking in the sand
RATRACE_wave_f_nm_np1_ri_med_10,man waving his hand
RE-_Boom_Snap_Clap_clap_u_nm_np1_fr_med_0,a girl is clapping hands
RE-_Boom_Snap_Clap_clap_u_nm_np1_fr_med_1,woman in yellow top and blue shorts clapping hands
RETURN_OF_THE_KING_sit_u_cm_np1_le_med_7,woman in red dress sitting down
RETURN_OF_THE_KING_stand_u_cm_np1_fr_med_12,man in black standing up
RETURN_OF_THE_KING_walk_f_cm_np1_ba_med_3,a woman is walking
Random_Pull_Up_Exercises_pullup_f_nm_np1_ba_med_0,a top naked man is doing pull up bar exercise
Random_Pull_Up_Exercises_pullup_f_nm_np1_ba_med_1,topless man pulling up
Random_Pull_Up_Exercises_pullup_f_nm_np1_fr_med_2,topless man pulling up
Random_Pull_Up_Exercises_pullup_f_nm_np1_fr_med_3,a top naked man is doing pull up bar exercise
